group,ars,boot_mean,boot_std,ci_lo,ci_hi,prob_ars_gt_theta
length_fluency,0.6005,0.6005,0.0547,0.4999,0.6861,1.0
lexical_sophistication,0.3986,0.3986,0.0423,0.3208,0.4619,1.0
syntactic_complexity,0.3387,0.3387,0.029,0.2852,0.3919,1.0
mechanics,0.1809,0.1809,0.0315,0.1289,0.2528,1.0
coherence_readability,0.1143,0.1143,0.0204,0.0803,0.1606,0.742
rhetoric_engagement,0.0728,0.0728,0.0116,0.0548,0.1001,0.0253
