config,K,lambda,per_group_weight,overall_qwk,harmed_mean_dqwk
NoAnchor,0,,,0.5111,0.0098
6-group,6,0.5,lambda/6,0.5107,-0.0332
5-group orig,5,0.5,lambda/5,0.5239,-0.0076
5-group rescaled,5,0.4167,lambda/6,0.5264,-0.0014
